,Unnamed: 0,Unnamed: 0.1,Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude,Modalidade
3630,3725,3725,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CURSO SOUZA BARROS DE ENFERMAGEM LTDA,33178623,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA AMERICO BRASILIENSE, 73 MADUREIRA. 21351-060 Rio de Janeiro - RJ.",(21) 38477777,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,,,-22.8738945,-43.34117020000001,6
3631,3726,3726,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CURSO SOUZA BARROS DE ENFERMAGEM LTDA,33178631,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ARACAJU, 83 CAMPO GRANDE. 20080-070 Rio de Janeiro - RJ.",(21) 36842594,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,,,-22.9011371,-43.5627809,2
3632,3727,3727,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO EDUCACIONAL FRANCISCO DE ASSIS,33178682,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA GOULART DE ANDRADE, 221 REALENGO. 21710-240 Rio de Janeiro - RJ.",(21) 33057800,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-22.87794,-43.433013,5
3633,3728,3728,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO CURSO EXATO,33178704,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOSE MAURICIO, 385 COBERTURA 01. PENHA. 21070-150 Rio de Janeiro - RJ.",(21) 22906981,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,-22.7538509,-43.4008443,7
3634,3729,3729,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SINDICATO DOS PROTETICOS DENTARIOS DO MUNICIPIO DO RIO DE JANEIRO,33178720,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ALCINDO GUANABARA, 17/21 SALA 1306/1307/1308. CENTRO. 20031-130 Rio de Janeiro - RJ.",(21) 22200350,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,,,-22.7862592,-43.2969711,2
3635,3730,3730,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO AO CUBO,33178798,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PROFESSOR GABIZO, 334 MARACANA. 20271-062 Rio de Janeiro - RJ.",(21) 25755537,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.917797600000004,-43.220306,15
3636,3731,3731,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO AO CUBO,33178828,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA RODOLFO AMOEDO, 333 BARRA DA TIJUCA. 22620-350 Rio de Janeiro - RJ.",(21) 39932230,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.0087404,-43.3169492,15
3637,3733,3733,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ELEVA,33178860,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA GENERAL SEVERIANO, 159 BOTAFOGO. 22290-040 Rio de Janeiro - RJ.",(21) 40422492,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9544652,-43.179193679607465,30
3638,3734,3734,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ALFA CEM BILINGUE,33178879,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA DE JACAREPAGUA, 6816 JACAREPAGUA. 22753-034 Rio de Janeiro - RJ.",(21) 31776900,Privada,Particular,Não,Em Tramitação,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.9646783,-43.33517120000001,15
3639,3735,3735,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GT EDUCACIONAL,33178925,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA MERITI, 2029 LJ A SL 201 E 301. VILA DA PENHA. 21211-007 Rio de Janeiro - RJ.",(21) 30400302,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.837978,-43.310192,15
3640,3736,3736,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ALVES CORREA VENANCIO LTDA ME,33178992,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA COMENDADOR SIQUEIRA, 283 PECHINCHA. 22743-032 Rio de Janeiro - RJ.",(21) 31725157,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.9226698,-43.35050250000001,15
3641,3737,3737,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL FELIPPO DE OLIVEIRA,33179018,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOAO SILVA, 127 OLARIA. 21031-410 Rio de Janeiro - RJ.",(21) 31047218,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.848067800000006,-43.2608815,6
3642,3738,3738,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0716822 EDI MARCELO PARENTE GOMES DE OLIVEIRA,33179026,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTRADA CURIPOS, S/N EM FRENTE AO 746. ANIL. 22753-330 Rio de Janeiro - RJ.",(21) 973992594,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-22.965019158182105,-43.3434734171469,2
