,Semana,Municipio,Casos Novos,Casos Acumulados,Início da semana
379,5,Cabo Frio,0.9096573775487463,1.8193147550974926,26/03/2020
380,5,Cachoeiras de Macacu,0.0,1.6967270135907835,26/03/2020
381,5,Cambuci,0.0,0.0,26/03/2020
382,5,Carapebus,0.0,0.0,26/03/2020
383,5,Comendador Levy Gasparian,0.0,0.0,26/03/2020
384,5,Campos dos Goytacazes,0.1970257000323122,0.7881028001292488,26/03/2020
385,5,Cantagalo,0.0,4.9573666468372,26/03/2020
386,5,Cardoso Moreira,0.0,0.0,26/03/2020
387,5,Carmo,0.0,0.0,26/03/2020
388,5,Casimiro de Abreu,2.263262719536484,11.316313597682418,26/03/2020
389,5,Conceição de Macabu,0.0,0.0,26/03/2020
390,5,Cordeiro,0.0,0.0,26/03/2020
391,5,Duas Barras,0.0,0.0,26/03/2020
392,5,Duque de Caxias,2.936071927237613,5.110940021487696,26/03/2020
393,5,Engenheiro Paulo de Frontin,0.0,0.0,26/03/2020
394,5,Guapimirim,3.304856486607069,4.9572847299106035,26/03/2020
395,5,Iguaba Grande,3.532320734722713,10.596962204168138,26/03/2020
396,5,Itaboraí,4.57205559619605,7.481545521048082,26/03/2020
397,5,Itaguaí,3.7588615160240266,3.7588615160240266,26/03/2020
398,5,Italva,0.0,0.0,26/03/2020
399,5,Itaocara,0.0,0.0,26/03/2020
400,5,Itaperuna,0.9687669534216848,2.9063008602650546,26/03/2020
401,5,Itatiaia,0.0,0.0,26/03/2020
402,5,Japeri,0.9544899205864386,0.9544899205864386,26/03/2020
403,5,Laje do Muriaé,0.0,0.0,26/03/2020
404,5,Macaé,1.1688068819349209,6.233636703652911,26/03/2020
405,5,Macuco,0.0,0.0,26/03/2020
406,5,Magé,2.040225077630564,3.6724051397350155,26/03/2020
407,5,Mangaratiba,2.248808131690204,6.746424395070613,26/03/2020
408,5,Maricá,4.962563660386956,6.823525033032064,26/03/2020
409,5,Mendes,0.0,0.0,26/03/2020
410,5,Mesquita,5.110645474523432,6.246344468861973,26/03/2020
411,5,Miguel Pereira,0.0,3.9157334168689797,26/03/2020
412,5,Miracema,0.0,0.0,26/03/2020
413,5,Natividade,0.0,0.0,26/03/2020
414,5,Nilópolis,3.0772071268117056,5.538972828261071,26/03/2020
415,5,Niterói,7.983114738776909,23.17050375401103,26/03/2020
416,5,Nova Friburgo,2.6228682638185816,6.2948838331645955,26/03/2020
417,5,Nova Iguaçu,4.140645550998139,7.06345417523212,26/03/2020
418,5,Paracambi,1.9136192280460034,3.8272384560920067,26/03/2020
419,5,Paraíba do Sul,2.2581009371118888,6.774302811335667,26/03/2020
420,5,Paraty,0.0,0.0,26/03/2020
421,5,Paty do Alferes,3.601137959595232,7.202275919190464,26/03/2020
422,5,Petrópolis,3.919122377862184,13.39033479102913,26/03/2020
423,5,Pinheiral,0.0,0.0,26/03/2020
424,5,Piraí,0.0,0.0,26/03/2020
425,5,Porciúncula,5.3058842256061975,5.3058842256061975,26/03/2020
426,5,Porto Real,5.080526342529086,5.080526342529086,26/03/2020
427,5,Quatis,13.984058173682003,13.984058173682003,26/03/2020
428,5,Queimados,6.65251897631038,9.313526566834533,26/03/2020
429,5,Quissamã,0.0,4.048582995951417,26/03/2020
430,5,Resende,2.2841306218164927,5.329638117571817,26/03/2020
431,5,Rio Bonito,4.983305925150745,8.305509875251241,26/03/2020
432,5,Rio Claro,0.0,0.0,26/03/2020
433,5,Rio das Flores,0.0,10.771219302024988,26/03/2020
434,5,Rio das Ostras,1.3273690218617678,3.3184225546544193,26/03/2020
435,5,Rio de Janeiro,7.307740564196268,16.38660358692483,26/03/2020
436,5,Santa Maria Madalena,0.0,0.0,26/03/2020
437,5,Santo Antônio de Pádua,0.0,0.0,26/03/2020
438,5,São Francisco de Itabapoana,0.0,0.0,26/03/2020
439,5,São Fidélis,0.0,0.0,26/03/2020
440,5,São Gonçalo,3.041926036951105,4.793337997619924,26/03/2020
441,5,São João da Barra,2.769929643787048,2.769929643787048,26/03/2020
442,5,São João de Meriti,1.4817762687180096,2.963552537436019,26/03/2020
443,5,São José de Ubá,0.0,0.0,26/03/2020
444,5,São José do Vale do Rio Preto,0.0,0.0,26/03/2020
445,5,São Pedro da Aldeia,1.914315249435277,2.8714728741529156,26/03/2020
446,5,São Sebastião do Alto,0.0,0.0,26/03/2020
447,5,Sapucaia,5.486065393899495,10.97213078779899,26/03/2020
448,5,Saquarema,0.0,0.0,26/03/2020
449,5,Seropédica,1.214889688016328,2.429779376032656,26/03/2020
450,5,Silva Jardim,0.0,0.0,26/03/2020
451,5,Sumidouro,0.0,0.0,26/03/2020
452,5,Tanguá,0.0,2.91468710833892,26/03/2020
453,5,Teresópolis,2.190652485842908,4.928968093146544,26/03/2020
454,5,Trajano de Moraes,0.0,0.0,26/03/2020
455,5,Três Rios,2.4448682216028557,3.6673023324042835,26/03/2020
456,5,Valença,2.613593298746782,2.613593298746782,26/03/2020
457,5,Varre-Sai,0.0,0.0,26/03/2020
458,5,Vassouras,0.0,0.0,26/03/2020
459,5,Volta Redonda,9.523390913219933,22.709624485370608,26/03/2020
460,6,Angra dos Reis,1.96285300684545,3.434992761979537,02/04/2020
461,6,Aperibé,0.0,0.0,02/04/2020
462,6,Araruama,3.7764350453172204,6.042296072507553,02/04/2020
463,6,Areal,0.0,0.0,02/04/2020
464,6,Armação dos Búzios,0.0,2.467186420605941,02/04/2020
465,6,Arraial do Cabo,3.295001482750667,9.885004448252001,02/04/2020
466,6,Barra do Piraí,2.9888218064439,7.9701914838503995,02/04/2020
467,6,Barra Mansa,2.7113203045354966,8.13396091360649,02/04/2020
468,6,Belford Roxo,6.850575252590496,11.352381847149966,02/04/2020
